"seqn","age_years","age_group","sex","race_eth","educ_level","pir"
"136939","59","50-59","2","3","5",NULL
"136940","5",NULL,"2","4",NULL,NULL
"136941","13",NULL,"2","4",NULL,"0.27"
"136942","43","40-49","1","4","4","3.69"
"136943","47","40-49","2","1","1","1.99"
"136944","2",NULL,"2","7",NULL,"1.22"
"136945","3",NULL,"1","1",NULL,"2.67"
"136946","67","60+","1","3","3","2.58"
"136947","22","18-29","2","3","4","1.47"
"136948","16",NULL,"1","3",NULL,"5"
"136949","47","40-49","2","1","2",NULL
"136950","25","18-29","1","3","3","2.13"
"136951","80","60+","2","7","5","1.01"
"136952","60","60+","1","3","5","5"
"136953","57","50-59","2","1","3","2.18"
"136954","35","30-39","1","3","3","0.84"
"136955","14",NULL,"1","3",NULL,"2.92"
"136956","62","60+","2","3","4","1.8"
"136957","7",NULL,"2","7",NULL,NULL
"136958","2",NULL,"1","3",NULL,"5"
"136959","70","60+","2","4","3","1.07"
"136960","11",NULL,"1","3",NULL,"3.41"
"136961","16",NULL,"1","3",NULL,"4.27"
"136962","4",NULL,"2","2",NULL,"2.77"
"136963","32","30-39","1","3","3","4.05"
"136964","2",NULL,"1","3",NULL,"2.61"
"136965","49","40-49","1","4","4",NULL
"136966","80","60+","1","3","3","1.09"
